Point_ID,longitude,latitude,class_name,GE_observed_class
Point_250,16.473611111111126,41.1236111111111,Cropland,
Point_251,14.376388888888897,41.34583333333333,Cropland,
Point_252,16.99305555555557,39.473611111111126,Cropland,
Point_253,15.029166666666669,40.99305555555557,Cropland,
Point_254,13.523611111111109,41.64027777777778,Cropland,
Point_255,14.070833333333354,41.16527777777779,Cropland,
Point_256,15.412499999999994,41.854166666666686,Cropland,
Point_257,12.545833333333348,41.83472222222224,Cropland,
Point_258,15.765277777777783,41.35972222222222,Cropland,
Point_259,15.126388888888897,41.44861111111112,Cropland,
Point_260,15.990277777777777,38.55694444444444,Cropland,
Point_261,17.281944444444463,40.72083333333333,Cropland,
Point_262,14.3125,41.30694444444444,Cropland,
Point_263,13.631944444444457,41.537499999999994,Cropland,
Point_264,14.468055555555566,41.179166666666674,Cropland,
Point_265,16.820833333333354,40.88750000000002,Cropland,
Point_266,15.295833333333348,40.2486111111111,Cropland,
Point_267,15.68194444444444,40.93194444444444,Cropland,
Point_268,14.93194444444444,41.348611111111126,Cropland,
Point_269,14.998611111111131,41.64305555555555,Cropland,
Point_270,16.395833333333343,40.701388888888886,Cropland,
Point_271,15.159722222222229,41.054166666666674,Cropland,
Point_272,12.576388888888886,41.64305555555555,Cropland,
Point_273,15.031944444444463,41.673611111111114,Cropland,
Point_274,13.145833333333343,41.712500000000006,Cropland,
Point_275,15.123611111111131,41.44305555555556,Cropland,
Point_276,16.80694444444444,39.25694444444446,Cropland,
Point_277,16.059722222222234,38.554166666666674,Cropland,
Point_278,15.356944444444451,38.14027777777778,Cropland,
Point_279,16.36805555555557,40.40972222222223,Cropland,
Point_280,13.006944444444457,38.00416666666666,Cropland,
Point_281,16.21527777777777,39.912499999999994,Cropland,
Point_282,17.03472222222223,39.01250000000002,Cropland,
Point_283,15.345833333333331,41.668055555555554,Cropland,
Point_284,15.723611111111126,41.61250000000001,Cropland,
Point_285,16.60138888888889,40.64305555555555,Cropland,
Point_286,15.870833333333337,39.62083333333334,Cropland,
Point_287,15.037499999999994,41.0013888888889,Cropland,
Point_288,16.406944444444463,39.6513888888889,Cropland,
Point_289,16.49305555555557,40.57916666666668,Cropland,
Point_290,16.651388888888903,40.54583333333335,Cropland,
Point_291,15.070833333333354,38.11805555555557,Cropland,
Point_292,15.995833333333337,41.37083333333334,Cropland,
Point_293,12.779166666666669,41.88194444444446,Cropland,
Point_294,15.587500000000006,41.837500000000006,Cropland,
Point_295,15.912499999999994,38.61805555555557,Cropland,
Point_296,17.43194444444444,40.581944444444446,Cropland,
Point_297,16.434722222222234,40.434722222222234,Cropland,
Point_298,16.71527777777777,40.30694444444444,Cropland,
Point_299,15.301388888888908,41.05694444444444,Cropland,
Point_300,16.370833333333337,40.604166666666686,Cropland,
Point_301,15.998611111111131,40.929166666666674,Cropland,
Point_302,15.831944444444446,40.331944444444446,Cropland,
Point_303,13.118055555555571,38.162499999999994,Cropland,
Point_304,16.73194444444445,39.61250000000001,Cropland,
Point_305,15.387500000000017,40.912499999999994,Cropland,
Point_306,12.845833333333331,41.50694444444446,Cropland,
Point_307,17.184722222222234,40.787499999999994,Cropland,
Point_308,15.887500000000017,40.86527777777778,Cropland,
Point_309,15.845833333333331,38.64583333333334,Cropland,
Point_310,13.781944444444463,41.315277777777794,Cropland,
Point_311,16.223611111111126,39.53194444444446,Cropland,
Point_312,15.845833333333331,40.93194444444444,Cropland,
Point_313,13.456944444444446,41.59583333333333,Cropland,
Point_314,17.134722222222223,41.02083333333334,Cropland,
Point_315,15.276388888888903,41.093055555555566,Cropland,
Point_316,15.595833333333331,41.27083333333334,Cropland,
Point_317,16.07361111111112,38.62916666666666,Cropland,
Point_318,16.54583333333335,40.75416666666666,Cropland,
Point_319,15.287499999999994,41.08472222222224,Cropland,
Point_320,16.10138888888889,40.25416666666666,Cropland,
Point_321,14.043055555555554,41.86250000000001,Cropland,
Point_322,13.106944444444451,38.09027777777777,Cropland,
Point_323,17.484722222222217,40.35972222222222,Cropland,
Point_324,15.820833333333354,40.32361111111112,Cropland,
Point_325,16.05138888888891,38.195833333333326,Cropland,
Point_326,16.520833333333343,40.71527777777777,Cropland,
Point_327,12.259722222222223,41.73472222222222,Other,
Point_328,15.112500000000011,38.11805555555557,Other,
Point_329,15.106944444444451,38.12083333333334,Other,
Point_330,16.42083333333335,40.13194444444446,Other,
Point_331,15.106944444444451,38.11805555555557,Other,
Point_332,14.012500000000017,40.7513888888889,Other,
Point_333,16.94305555555556,40.468055555555566,Other,
Point_334,17.265277777777783,40.412499999999994,Other,
Point_335,14.593055555555566,41.49027777777778,Other,
Point_336,14.123611111111131,40.820833333333326,Other,
Point_337,12.487500000000011,41.826388888888886,Other,
Point_338,16.054166666666674,38.13750000000002,Other,
Point_339,13.023611111111109,41.47638888888889,Other,
Point_340,16.20972222222224,38.934722222222234,Other,
Point_341,14.729166666666686,40.77916666666667,Other,
Point_342,14.412499999999994,40.75416666666666,Other,
Point_343,14.170833333333348,40.89861111111111,Other,
Point_344,16.42638888888891,39.76805555555555,Other,
Point_345,12.590277777777771,38.01250000000002,Other,
Point_346,12.434722222222234,41.79027777777779,Other,
Point_347,14.462500000000006,40.85694444444445,Other,
Point_348,15.787499999999994,40.570833333333326,Other,
Point_349,12.740277777777777,38.17638888888888,Other,
Point_350,15.893055555555577,41.3763888888889,Other,
Point_351,16.229166666666686,38.837500000000006,Other,
Point_352,12.615277777777777,41.76805555555555,Other,
Point_353,13.837500000000006,41.49583333333334,Other,
Point_354,14.07916666666668,40.86527777777778,Other,
Point_355,14.498611111111131,40.72638888888889,Other,
Point_356,13.340277777777771,41.63472222222222,Other,
Point_357,15.554166666666674,38.20972222222224,Other,
Point_358,15.212500000000006,38.14861111111111,Other,
Point_359,14.526388888888903,40.787499999999994,Other,
Point_360,13.190277777777794,38.168055555555554,Other,
Point_361,15.409722222222229,41.854166666666686,Other,
Point_362,13.337500000000006,41.64305555555555,Other,
Point_363,16.315277777777794,40.47638888888889,Other,
Point_364,14.045833333333348,40.88472222222222,Other,
Point_365,16.65416666666667,40.673611111111114,Other,
Point_366,15.43194444444444,41.7513888888889,Other,
Point_367,14.08472222222224,41.3763888888889,Other,
Point_368,12.398611111111109,41.88750000000002,Other,
Point_369,16.626388888888897,39.60138888888889,Other,
Point_370,16.43194444444444,39.64305555555555,Other,
Point_371,15.765277777777783,39.912499999999994,Other,
Point_372,14.343055555555566,40.83472222222224,Other,
Point_373,12.820833333333354,41.4986111111111,Other,
Point_374,14.651388888888903,41.17638888888888,Other,
Point_375,14.481944444444451,40.718055555555566,Other,
Point_376,12.262500000000017,41.73472222222222,Other,
Point_377,14.1875,40.86805555555557,Other,
Point_378,13.715277777777771,41.25694444444446,Other,
Point_379,14.148611111111109,40.9375,Other,
Point_380,14.412499999999994,40.78194444444446,Other,
Point_381,14.612500000000011,40.80138888888888,Other,
Point_382,14.256944444444457,40.979166666666686,Other,
Point_383,14.679166666666674,40.74583333333334,Other,
Point_384,17.254166666666663,40.45972222222224,Other,
Point_385,12.501388888888897,41.61250000000001,Other,
